event,consequence,barrier,human action,drone action,component
UA exits the operating range,Loss of safe separation between UA and manned intruder aircraft,Emergency Procedures,"RSO declares an emergency, notifies the ATC facilities, and broadcasts on CTAF/UNICOM to notify pilots",,
UA exits the operating range,Loss of safe separation between UA and manned intruder aircraft,Piloting Safety Actions,Pilot responds to the emergency broadcast received on CTAF/UNICOM or through ATC instruction and takes appropriate action to change course and/or exit the airspace,,
UA exits the operating range,Loss of safe separation between UA and manned intruder aircraft,ATC Procedures,"Air Traffic Control broadcasts notification of a flyaway UAS, informing air traffic to divert away from the airspace surrounding the operating range",,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Loss of safe separation between UA and manned intruder aircraft,Avoidance Maneuvers,"The RSO directs the PIC to initiate an appropriate avoidance maneuver (return to base, divert and loiter, divert and land, land immediately, terminate), who commands it via the GCS",,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Loss of safe separation between UA and manned intruder aircraft,Independent Flight Abort,The RSO or PIC invoke an independent flight abort capability immediately shutting off engines and halting forward motion,,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Loss of safe separation between UA and manned intruder aircraft,Emergency Procedures,"RSO declares an emergency, notifies the ATC facilities, and broadcasts on CTAF/UNICOM to notify pilots",,
Loss of safe separation between UA and manned intruder aircraft,Midair collision between UA and manned intruder aircraft,Piloting Safety Actions,Pilot of non-cooperative intruder aircraft visually acquires the UA and takes an evasive maneuver,,
"Non-cooperative aircraft, with pilot unaware of UAS operations, heading into the TV",Airborne intrusion into the operating range by a non-cooperative manned aircraft,Pre-mission Coordination,"Outreach prior to operations to inform local airspace users, including airports in the vicinity of the operating range, of UAS activity",,
"Non-cooperative aircraft, with pilot unaware of UAS operations, heading into the TV",Airborne intrusion into the operating range by a non-cooperative manned aircraft,Pre-mission Coordination,Notices to Airmen indicating locations and times for UAS activity activated prior to operations,,
"Non-cooperative aircraft, with pilot unaware of UAS operations, heading into the TV",Airborne intrusion into the operating range by a non-cooperative manned aircraft,Inflight Communication,Periodic broadcasts on the common traffic advisory frequency CTAF informing pilots of UAS activity,,
"Non-cooperative aircraft, with pilot unaware of UAS operations, heading into the TV",Airborne intrusion into the operating range by a non-cooperative manned aircraft,Ground-based Surveillance,"Radar scans the airspace; radar operator monitors the surveillance display, to detect and track intruder, and classify it as a threat",,
UAS operators are unaware of airspace situation,Airborne intrusion into the operating range by a non-cooperative manned aircraft,"AW, FRR, MRR, CQ","Flight crew is sufficiently trained and qualified by NASA to acquire and maintain awareness of the airspace situation prior to, and during UAS flight operations",,
UAS operators are unaware of airspace situation,Airborne intrusion into the operating range by a non-cooperative manned aircraft,Nominal Operating Procedures,"Prior to UA takeoff, the airspace within the operating range is confirmed to be all clear, and free of potential airborne hazards based on verbal confirmation by the visual observers and radar operator",,
UAS operators are unaware of airspace situation,Airborne intrusion into the operating range by a non-cooperative manned aircraft,Ground-based Surveillance,"Radar scans the airspace; radar operator monitors the surveillance display, to detect and track intruder, and classify it as a threat",,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Collision of UA into terrain within the operating range,Avoidance Maneuvers,"The RSO directs the PIC to initiate an appropriate avoidance maneuver (return to base, divert and loiter, divert and land, land immediately, terminate), who commands it via the GCS",,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Collision of UA into terrain within the operating range,Independent Flight Abort,The RSO or PIC invoke an independent flight abort capability immediately shutting off engines and halting forward motion,,
Airborne intrusion into the operating range by a non-cooperative manned aircraft,Collision of UA into terrain within the operating range,Safe Separation Measures,Flight paths and contingency points are predefined to avoid populated and built-up areas,,
